MOTACE,ACEITE,25,15121500,,
MOTACB,ACIDO PARA BATERIA,18,25173900,,
MOTACU,ACUMULADOR,18,25173900,,
MOTAGU,AGUJA,18,25173900,,
MOTAJU,AJUSTADORES,17,25173800,,
MOTALR,ALARMA MP3 Y BOCINAS PARA MOTOCICLETA,22,25174700,,
MOTALF,ALFORJA,22,25174700,,
MOTAMO,AMORTIGUADOR,23,25174900,,
MOTANI,ANILLOS,19,25174200,,
MOTANT,ANTIREFLEJANTE,22,25174700,,
MOTARN,ARAÑA,13,25172600,,
MOTARL,ARBOL DE LEVAS,17,25173800,,
MOTARS,ARNES,18,25173900,,
MOTARO,ARO,12,25172500,,
MOTASI,ASIENTO,21,25174600,,
MOTAUM,AUMENTO,23,25174900,,
MOTBLC,BALANCIN,17,25173800,,
MOTBLT,BALATAS,5,25171700,,
MOTBAL,BALERO,23,25174900,,
MOTBAN,BANDA,17,25173800,,
MOTBRR,BARRA DE SUSPENSION,9,25172000,,
MOTBAR,BARRA DE SUSPENSION,9,25172000,,
MOTBAS,BASE,19,25174200,,
MOTBAT,BATERIA GARANTIA UN MES POR DEFECTO DE FABRICA,18,25173900,,
MOTBAY,BAYONETA,11,25172400,,
MOTBEN,BENDIX,18,25173900,,
MOTBIE,BIELA,19,25174200,,
MOTBOA,BOMBA DE ACEITE,17,25173800,,
MOTBOF,BOMBA DE FRENO,5,25171700,,
MOTBRZ,BRAZO,5,25171700,,
MOTBUE,BUJE,23,25174900,,
MOTBUJ,BUJIA,18,25173900,,
MOTBUL,BULBOS,18,25173900,,
MOTCAZ,CABEZA,18,25173900,,
MOTCAA,CABLE DE ACELERADOR,5,25171700,,
MOTCBL,CABLE DE AHOGADOR,5,25171700,,
MOTCBB,CABLE DE BUJIA,18,25173900,,
MOTCAC,CABLE DE CLUTCH,17,25173800,,
MOTCAF,CABLE DE FRENOS ,5,25171700,,
MOTCBC,CABLE DE TACOMETRO,17,25173800,,
MOTCAV,CABLE DE VELOCIMETRO,5,25171700,,
MOTCAB,CABLEADO,18,25173900,,
MOTCDS,CADENA DE DISTRIBUCION,19,25174200,,
MOTCAT,CADENA DE TIEMPO,19,25174200,,
MOTCAL,CALAVERA,18,25173900,,
MOTCAM,CAMARA,12,25172500,,
MOTCAN,CANDADO DE CADENA,17,25173800,,
MOTCND,CANDADO DE CADENA,19,25174200,,
MOTCPC,CAPUCHON,18,25173900,,
MOTCRO,CARBON,18,25173900,,
MOTCRK,CARBUKLIN,11,25172400,,
MOTCAR,CARBURADOR,18,25173900,,
MOTCTR,CARTER,18,25173900,,
MOTCAS,CASCO,22,25174700,,
MOTCDI,CDI,18,25173900,,
MOTCED,CEDAZO,11,25172400,,
MOTPEG,CEMENTO,12,25172500,,
MOTCIG,CIGÜEÑAL,17,25173800,,
MOTCLA,CLAXON MOTO,18,25173900,,
MOTCLH,CLUTCH,17,25173800,,
MOTCON,CONTRAPESO,22,25174700,,
MOTCNR,CONTROL,18,25173900,,
MOTCRI,CONTROL DE INTERRUPTORES IZQ,18,25173900,,
MOTCOR,CORBATA,12,25172500,,
MOTCUD,CUADRO,20,25174400,,
MOTCUR,CUBIERTA,13,25172600,,
MOTCUE,CUBIERTA ENFRIAMIENTO,13,25172600,,
MOTCUP,CUBREPUÑOS,22,25174700,,
MOTCUN,CUÑA,17,25173800,,
MOTDEF,DEFENSA,22,25174700,,
MOTDES,DESTAPADOR,17,25173800,,
MOTDIA,DIAFRAGMA,18,25173900,,
MOTDIN,DINAMO,18,25173900,,
MOTDIR,DIRECCIONAL DE MOTOCICLETA,18,25173900,,
MOTEJC,EJE CAMBIOS,17,25173800,,
MOTEMB,EMBRAGUE,17,25173800,,
MOTEMP,EMPAQUES,20,25174600,,
MOTENG,ENGRANE,17,25173800,,
MOTEGR,ENGRASADOR CADENA,26,15121900,,
MOTESC,ESCAPE,27,25173700,,
MOTESP,ESPEJOS DE MOTOCICLETA,13,25172600,,
MOTESG,ESPIGA,17,25173800,,
MOTEST,ESTATOR,18,25173900,,
MOTFAR,FARO DE MOTOCICLETA,14,25172800,,
MOTFIA,FILTRO DE AIRE,5,25171700,,
MOTFIG,FILTRO DE GASOLINA,11,25172400,,
MOTFOC,FOCO,14,25172800,,
MOTFUS,FUSIBLE,18,25173900,,
MOTGAL,GALLETA MOFLE,27,25173700,,
MOTGOM,GOMAS SPROCK,5,25171700,,
MOTGUA,GUANTES,22,25174700,,
MOTGUI,GUIAS,19,25174200,,
MOTHUE,HUESITO,22,25174700,,
MOTHUL,HULES,13,25172600,,
MOTIMC,IMPERMEABLE COMPLETO,22,25174700,,
MOTKCL,KIT CILINDRO,18,25173900,,
MOTKTD,KIT DE TAZAS DE DIRECCION,19,25174200,,
MOTKIF,KIT MOFLE,16,25173300,,
MOTKTS,KIT SPROCKET,17,25173800,,
MOTLAM,LAMPARA,14,25172800,,
MOTLED,LED,14,25172800,,
MOTLEN,LENTES,22,25174700,,
MOTLEV,LEVA,5,25171700,,
MOTLIG,LIGA,20,25174400,,
MOTLIN,LINEA  DE FRENO,5,25171700,,
MOTLLA,LLANTA,12,25172500,,
MOTLLG,LLAVE DE GASOLINA,11,25172400,,
MOTLBR,LUBRICANTE CADENA,25,15121500,,
MOTLUZ,LUZ,14,25172800,,
MOTLUL,LUZ LED,14,25172800,,
MOTMAC,MALETERO DE MOTOCICLETA,22,25174700,,
MOTMAT,MALLA DE MOTOCICLETA,22,25174700,,
MOTMAN,MANDO,18,25173900,,
MOTMNP,MANGAS PROTECTORAS,22,25174700,,
MOTMNC,MANGUERA DE CARBURADOR,18,25173900,,
MOTMJC,MANIJA DE CLUTCH,17,25173800,,
MOTMJF,MANIJA DE FRENO,5,25171700,,
MOTMNJ,MANIJA DE FRENO,5,25171700,,
MOTMNO,MANO DE OBRA,"23,5",78181500,,
MOTMNM,MANUBRIO DE MOTOCICLETA,19,25174200,,
MOTMAA,MARCHA,18,25173900,,
MOTMZA,MAZA,5,25171700,,
MOTMAZ,MAZA TRASERA,5,25171700,,
MOTMED,MEDIA LUNA,5,25171700,,
MOTMIC,MICA DE CASCO,22,25174700,,
MOTMON,MONITO,18,25173900,,
MOTOPR,OPRESOR DE MOTOCICLETA,17,25173800,,
MOTPLD,PALANCA DERECHA DE MOTOCICLETA,5,25171700,,
MOTPAR,PARADOR LATERAL,22,25174700,,
MORPAR,PARRILLA,13,25172600,,
MOTPST,PASTA DE CLUTCH,17,25173800,,
MOTPTL,PATA LATERAL,22,25174700,,
MOTPDA,PEDAL DE ARRANQUE,15,25173000,,
MOTPDC,PEDAL DE CAMBIOS,15,25173000,,
MOTPDF,PEDAL DE FRENOS,15,25172600,,
MOPDL,PEDALES,15,25173000,,
MOTPIJ,PIJA,20,25174600,,
MOTPIP,PIPETA DE MOTOCICLETA,18,25173900,,
MOTPIS,PISTON,20,25174400,,
MOTPIV,PIVOTE,12,25172500,,
MOTPLA,PLATO CLUTCH,17,25173800,,
MOTPOL,POLEA,17,25173800,,
MOTPOV,POLVERA,13,25172600,,
MOTPOR,PORTABALATAS,5,25171700,,
MOTPRC,PORTACELULAR,22,25174700,,
MOTPRE,PORTAENGRANE,17,25173800,,
MOTPRF,PORTAFOCO,15,25171700,,
MOPRT,PORTAFUSIBLE,18,25173900,,
MOTPSP,POSAPIE,13,25172600,,
MOTPOS,POSTE,19,25174200,,
MORPRS,PRENSA,17,25173800,,
Codigo,Producto,Numero,Clave_SAT,,****Categorias de productos****
MOTPNM,PUÑOS DE MOTOCICLETA,22,25174700,,
MOTRAY,RAYO DE MOTOCICLETA,22,25174700,,
MOTRED,RED,22,25174700,,
MOTREG,REGULADOR,18,25173900,,
MOTREL,RELAY,18,25173900,,
MOTREP,REPUESTO DE CARBURADOR,18,25173900,,
MOTRET,RESISTENCIA,18,25173900,,
MOTRTE,RESORTE DE FRENO,5,25171700,,
MOTRES,RESTIRADOR DE CADENA DE MOTOCICLETA,17,25173800,,
MOTRTN,RETEN,20,25174600,,
